Funder,Funder Country,Funder Type,Recipient Name,Recipient URL,Recipient City,Recipient State,Recipient Country,Currency,Amount (original currency),Amount (USD),Paid/Auth,Transaction Type,Duration (Months),FY,Grant Description,Source URL,Publication,Title,Author,Publication Date,Date added,Crisis
Caisses d'Epargne,France,Corporate giving program,French Red Cross,https://www.croix-rouge.fr/,Paris,,France,EUR,"€ 1,500,000 ","$1,635,000",Authorized,Cash,,2022,"The Caisses d'Epargne are mobilizing their common endowment fund to donate €1.5 million to the French Red Cross. This donation will support the solidarity actions deployed by the International Movement of the Red Cross in favor of the civilian population and the victims of the Ukraine crisis, inside the country itself, in neighboring countries and on French soil.",https://www.federation.caisse-epargne.fr/ukraine-les-caisses-depargne-se-mobilisent-en-faveur-de-laide-humanitaire/#.Yk2nKSjMJPY,,,,3/22/2022,4/6/2022,Ukraine
California Dental Association Foundation,United States,Public Charity,Multiple Recipients,,,,,USD,"$10,000","$10,000",Authorized,Cash,,2022,"CDA Foundation opened a relief fund to support dental care for Ukrainians and contributed $10,000. One-hundred percent of the contributions will go toward supporting dental care organized by Polish humanitarian aid organizations.",https://www.cda.org/Home/News-and-Events/Newsroom/Article-Details/cda-foundation-opens-relief-fund-to-support-dental-care-for-ukrainians,,,,3/24/2022,3/25/2022,Ukraine
Camlog Biotechnologies GmbH,Switzerland,Corporate giving program,International Federation of Red Cross and Red Crescent Societies (IFRC),https://www.ifrc.org/,Geneva,,Switzerland,CHF,"10,000 CHF","$10,800",Paid,Cash,,2022,"Donation of 10,000 CHF for Ukraine humanitarian relief from Swiss Biotech company.",https://data.humdata.org/viz-ukraine-ps-tracker/?org=CBi-PROVIDER-61,Ukraine Private Sector Donations Tracker,Dashboard,,4/20/2022,5/26/2022,Ukraine
Canada Goose,Canada,Corporate giving program,UNHCR,https://www.unhcr.org/en-us/,Geneva,,Switzerland,CAD,"$100,000","$79,000",Authorized,Cash,,2022,"Through the Canada Goose Response Program, the company are donating $100,000 CAD to the United Nations High Commissioner for Refugees (UNHCR) who are leading global humanitarian efforts in Ukraine and the region.",https://www.businesswire.com/news/home/20220302005810/en/Canada-Goose-Announces-Donation-to-United-Nations-Suspends-Sales-in-Russia,Businesswire,"Canada Goose Announces Donation to United Nations, Suspends Sales in Russia",,3/2/2022,3/3/2022,Ukraine
Canadian Imperial Bank of Commerce ,Canada,Corporate giving program,UNICEF Canada,https://www.unicef.ca/en,Toronto,,Canada,CAD,"$100,000","$79,000",Authorized,Cash,,2022,"CIBC announced it is donating $200,000 to three organizations focused on providing immediate humanitarian aid to the people of Ukraine. This includes $100,000 CAD to the UNICEF Canada Ukraine Appeal, which is focused on providing humanitarian aid to children and families and protecting children's rights, while responding to the vulnerabilities caused by the dual crises of conflict and COVID-19.",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/canadian-imperial-bank-commerce-humanitarian-crisis-ukraine,U.S. Chamber of Commerce Corporate Tracker,,,2/28/2022,2/28/2022,Ukraine
Canadian Imperial Bank of Commerce ,Canada,Corporate giving program,Canadian Red Cross,https://www.redcross.ca/,Ottawa,,Canada,CAD,"$50,000","$39,500",Authorized,Cash,,2022,"CIBC announced it is donating $200,000 to three organizations focused on providing immediate humanitarian aid to the people of Ukraine. This includes $50,000 CAD to Canadian Red Cross Ukraine Humanitarian Crisis Appeal, which will enable the Red Cross and Red Crescent Movement to respond to humanitarian needs generated by the recent crisis.",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/canadian-imperial-bank-commerce-humanitarian-crisis-ukraine,U.S. Chamber of Commerce Corporate Tracker,,,2/28/2022,2/28/2022,Ukraine
Canadian Imperial Bank of Commerce ,Canada,Corporate giving program,UNHCR,https://www.unhcr.org/en-us/,Geneva,,Switzerland,CAD,"$50,000","$39,500",Authorized,Cash,,2022,"CIBC announced it is donating $200,000 to three organizations focused on providing immediate humanitarian aid to the people of Ukraine. This includes $50,000 to United Nations Refugee Agency Canada (UNHCR), which will help ensure that Ukrainians forced to flee their homes are sheltered and safe.",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/canadian-imperial-bank-commerce-humanitarian-crisis-ukraine,U.S. Chamber of Commerce Corporate Tracker,,,2/28/2022,2/28/2022,Ukraine
Canadian Imperial Bank of Commerce ,Canada,Corporate giving program,Multiple Recipients,,,,,CAD,"$300,000","$237,000",Authorized,Cash,,2022,"CIBC announced that it is furthering its support for Ukrainians by increasing its financial contribution to a total of $500,000, including a newly announced $300,000 contribution to organizations assisting with resettlement efforts in Canada and for humanitarian relief efforts in Ukraine. These organizations include the Canadian Ukrainian Immigrant Aid Society (CUIAS), Canada-Ukraine Foundation, and Talent Beyond Boundaries.",https://finance.yahoo.com/news/cibc-increases-ukrainian-aid-donation-130000590.html,Yahoo! Finance,"CIBC increases Ukrainian aid donation to $500,000 and adds support for those resettling in Canada",,3/21/2022,3/23/2022,Ukraine
Canadian National Railway,Canada,Corporate giving program,Multiple Recipients,,,,,CAD,"$1,100,000","$869,000",Authorized,Cash,,2022,"Canadian National will make donations totaling $C1.1 million to two organizations — the Canada-Ukraine Foundation, and U.S. non-profit Razom — to support Ukrainians displayed by the war in Ukraine.",https://www.trains.com/trn/news-reviews/news-wire/canadian-national-donates-more-than-1-million-for-ukraine-relief/,Trains,Canadian National donates more than $1 million for Ukraine relief,,3/17/2022,3/17/2022,Ukraine
Canadian Pacific Railway,Canada,Corporate giving program,Canadian Red Cross,http://www.redcross.ca/,Ottawa,,Canada,CAD,"$500,000","$395,000",Authorized,Pledge,,2022,"Canadian Pacific pledged CA$500,000 to the Canadian Red Cross and that it would match employee donations to the Canadian Red Cross and American Red Cross over the next 30 days. CP will also match donations to other aid agencies supporting Ukraine relief efforts via CP’s employee charitable giving program.",http://railpage.com.au/news/s/class-i-railroads-donate-over-2-million-for-ukraine-relief,Railpage,Class I railroads donate over $2 million for Ukraine relief,Freightwaves.com,3/27/2022,3/28/2022,Ukraine
