Funder,Funder Country,Funder Type,Recipient Name,Recipient URL,Recipient City,Recipient State,Recipient Country,Currency,Amount (original currency),Amount (USD),Paid/Auth,Transaction Type,Duration (Months),FY,Grant Description,Source URL,Publication,Title,Author,Publication Date,Date added,Crisis
"Harry and Jeanette Weinberg Foundation, Inc.",United States,Independent foundation,American Jewish Joint Distribution Committee (JDC),https://www.jdc.org/,New York,NY,United States,USD,"$250,000","$250,000",Authorized,Cash,,2022,"The Weinberg Foundation announced a $250,000 grant to the American Jewish Joint Distribution Committee for Ukrainian relief. JDC is focused on delivering care to older adults and families. It is activating hotlines and emergency homecare plans, as well as securing safe facilities for Jewish individuals and families fleeing their homes. JDC has secured and prepared housing and basic necessities for 2,500 individuals with the ability to help an additional 10,000 displaced civilians.","https://www.bakersfield.com/ap/news/weinberg-foundation-grants-1-000-000-in-emergency-funding-in-response-to-russia-s-invasion/article_6eb9d09c-e0af-5f77-a262-444110450f2e.html#:~:text=Baltimore%2C%20March%2002%2C%202022%20(,lines%20assisting%20refugees%2C%20many%20of",AP,"WEINBERG FOUNDATION GRANTS $1,000,000 IN EMERGENCY FUNDING IN RESPONSE TO RUSSIA’S INVASION OF ...",,3/2/2022,3/2/2022,Ukraine
"Harry and Jeanette Weinberg Foundation, Inc.",United States,Independent foundation,The Jewish Agency for Israel (JAFI),https://www.jewishagency.org/,New York,NY,United States,USD,"$250,000","$250,000",Authorized,Cash,,2022,"The Weinberg Foundation announced a $250,000 grant to the The Jewish Agency for Israel (JAFI) for Ukrainian relief. JAFI is preparing for a significant and rapid increase in emergency aliyah (immigration) for thousands of Ukrainian Jewish individuals and families caught in the crossfire of this war. ","https://www.bakersfield.com/ap/news/weinberg-foundation-grants-1-000-000-in-emergency-funding-in-response-to-russia-s-invasion/article_6eb9d09c-e0af-5f77-a262-444110450f2e.html#:~:text=Baltimore%2C%20March%2002%2C%202022%20(,lines%20assisting%20refugees%2C%20many%20of",AP,"WEINBERG FOUNDATION GRANTS $1,000,000 IN EMERGENCY FUNDING IN RESPONSE TO RUSSIA’S INVASION OF ...",,3/2/2022,3/2/2022,Ukraine
Hartford Healthcare System,United States,Public charity,Unknown Recipient(s),,,,,USD,"$250,000","$250,000",Authorized,In-kind gifts,,2022,"The Hartford Healthcare System has donated $250,000 worth of medical supplies to assist people in Ukraine.",https://patch.com/connecticut/across-ct/hartford-healthcare-showing-support-ukrainians,The Chronicle,Michelle Warren,Hartford HealthCare Showing Support To Ukrainians,3/15/2022,3/16/2022,Ukraine
Hearthland Foundation,United States,Independent foundation,Multiple Recipients,,,,,USD,"$1,000,000","$1,000,000",Authorized,Cash,,2022,"Steven Spielberg and Kate Capshaw have donated $1 million to support humanitarian relief in Ukraine following Russia’s unprovoked invasion. Through their philanthropy Hearthland Foundation, Spielberg and Capshaw have allocated the money to several organizations in and near Ukraine, including the Polish Red Cross, Polish Humanitarian Action, World Central Kitchen, Hebrew Immigrant Aid Society and Urgent Action Fund.",https://www.lmtonline.com/entertainment/article/Steven-Spielberg-and-Kate-Capshaw-Donate-1-17009857.php,,Steven Spielberg and Kate Capshaw Donate $1 Million to Ukraine Humanitarian Organizations,Rebecca Rubin,3/17/2022,3/18/2022,Ukraine
Heartland,Denmark,Corporate giving program,International Committee of the Red Cross (ICRC),https://www.icrc.org/en,Geneva,,Switzerland,DKK,"10,000,000 kr.","$1,500,000",Authorized,Cash,,2022,"Denmark-based Heartland donated DKK 10 million to the Red Cross, UNICEF and the UN Refugee Agency, UNHCR, respectively, followed by donations to a number of other aid programmes.",https://www.thescottishsun.co.uk/news/8523801/ukraine-invasion-scotlands-richest-man-millions/,The Scottish Sun,SCOTS SOLIDARITY Ukraine invasion: Scotland’s richest man gives more than £11million to humanitarian efforts.,Mike Merritt,3/5/2022,3/9/2022,Ukraine
Heartland,Denmark,Corporate giving program,UNICEF,https://www.unicef.org/,New York,NY,United States,DKK,"10,000,000 kr.","$1,500,000",Authorized,Cash,,2022,"Denmark-based Heartland donated DKK 10 million to the Red Cross, UNICEF and the UN Refugee Agency, UNHCR, respectively, followed by donations to a number of other aid programmes.",https://www.thescottishsun.co.uk/news/8523801/ukraine-invasion-scotlands-richest-man-millions/,The Scottish Sun,SCOTS SOLIDARITY Ukraine invasion: Scotland’s richest man gives more than £11million to humanitarian efforts.,Mike Merritt,3/5/2022,3/9/2022,Ukraine
Heartland,Denmark,Corporate giving program,UNHCR,https://www.unhcr.org/en-us/,Geneva,,Switzerland,DKK,"10,000,000 kr.","$1,500,000",Authorized,Cash,,2022,"Denmark-based Heartland donated DKK 10 million to the Red Cross, UNICEF and the UN Refugee Agency, UNHCR, respectively, followed by donations to a number of other aid programmes.",https://www.thescottishsun.co.uk/news/8523801/ukraine-invasion-scotlands-richest-man-millions/,The Scottish Sun,SCOTS SOLIDARITY Ukraine invasion: Scotland’s richest man gives more than £11million to humanitarian efforts.,Mike Merritt,3/5/2022,3/9/2022,Ukraine
Heartland,Denmark,Corporate giving program,Unknown Recipient(s),,,,,DKK,"70,000,000 kr.","$10,500,000",Authorized,Cash,,2022,"Denmark-based Heartland donated DKK 100 million (£11.12m) to humanitarian efforts and initiatives, including DKK 10 million each to the Red Cross, UNICEF and the UN Refugee Agency, UNHCR.",https://www.thescottishsun.co.uk/news/8523801/ukraine-invasion-scotlands-richest-man-millions/,The Scottish Sun,SCOTS SOLIDARITY Ukraine invasion: Scotland’s richest man gives more than £11million to humanitarian efforts.,Mike Merritt,3/5/2022,3/9/2022,Ukraine
H-E-B,United States,Corporate giving program,Save the Children,https://www.savethechildren.org/,,,United States,USD,"$100,000 ","$100,000",Authorized,Cash,,2022,"H-E-B has dedicated $100,000 to Save the Children, an organization working to meet the urgent needs of people affected by the conflict in Ukraine and across the region. The gift will go toward the organization’s Ukraine Crisis Relief Fund, which helps provide children and families with immediate aid such as food, water, hygiene kits, baby items, winter coats, and cash assistance.",https://austin.culturemap.com/news/city-life/03-23-22-h-e-b-1-million-charles-butt-donation-ukraine/,Culturemap Austin,H-E-B Launches $1 million Donation Campaign in Support of Ukraine,Hannah J. Phillips,3/23/2022,3/24/2022,Ukraine
H-E-B,United States,Corporate giving program,UNICEF,https://www.unicef.org/,,,,USD,"$100,000 ","$100,000",Authorized,Cash,,2022,"In response to the humanitarian crisis in Ukraine, H-E-B has committed $100,000 to UNICEF.",https://austin.culturemap.com/news/city-life/03-23-22-h-e-b-1-million-charles-butt-donation-ukraine/,Culturemap Austin,H-E-B Launched $1 millon donation campaign in support of Ukraine,Hannah J. Phillips,3/23/2022,3/24/2022,Ukraine
H-E-B,United States,Corporate giving program,Global FoodBanking Network,https://www.foodbanking.org/,Chicago,IL,United States,USD,"$100,000 ","$100,000",Authorized,Cash,,2022,"H-E-B has committed $100,000 to the Global FoodBanking Network’s Emergency Response Fund, which works with the European Food Banks Federation to deliver food to people inside Ukraine and those fleeing to neighboring countries.",https://austin.culturemap.com/news/city-life/03-23-22-h-e-b-1-million-charles-butt-donation-ukraine/,Culturemap Austin,H-E-B launches $1 million donation campaign in support of Ukraine,Hannah J. Phillips,3/23/2022,3/24/2022,Ukraine
H-E-B,United States,Corporate giving program,Ukrainian San Antonio,https://www.ukrainiansanantonio.com/,San Antonio,TX,United States,USD,"$50,000 ","$50,000",Authorized,Cash,,2022,"H-E-B gifted $50,000 to Ukrainian San Antonio, a nonprofit working to gather supplies and funds for Razom for Ukraine, which provides humanitarian aid in war torn parts of Ukraine.",https://austin.culturemap.com/news/city-life/03-23-22-h-e-b-1-million-charles-butt-donation-ukraine/,Culturemap Austin,H-E-B launched $1 million donation campaign in support of Ukraine,,3/23/2022,3/24/2022,Ukraine
Helen Frankenthaler Foundation,United States,Independent foundation,PEN America,https://pen.org/,New York,NY,United States,USD,"$2,000,000","$2,000,000",Authorized,Cash,36,2022,"New York–based Helen Frankenthaler Foundation said it will distribute $2 million to PEN America, which will be split between two initiatives over the course of three years. One is the Emergency and Resilience Funds for Visual Artists at Risk in Ukraine, Belarus, and Russia, which includes grants covering basic needs as well as career support for artists, such as networking opportunities and and practical resources. The other initiative is the Artists at Risk Connection (ARC), which supports artists worldwide whose lives and livelihoods are threatened due to their creative work or as a consequence of war.",https://www.artnews.com/art-news/news/helen-frankenthaler-foundation-ukrainian-artists-fund-1234624286/,ARTnews,Helen Frankenthaler Foundation Commits $2.5 M. to Ukrainian Artists and At-Risk Heritage,Tessa Solomon,4/6/2022,4/7/2022,Ukraine
Helen Frankenthaler Foundation,United States,Independent foundation,World Monuments Fund,https://www.wmf.org/,New York,NY,United States,USD,"$500,000","$500,000",Authorized,Cash,,2022,"New York–based Helen Frankenthaler Foundation said it will donate $500,000 to the World Monuments Fund, which will launch an initiative known as the Ukraine Heritage Response Fund that will be dedicated to the documentation and preservation of heritage sites. Through the fund, cultural professionals working on conservation and restoration projects will receive direct financial aid.",https://www.artnews.com/art-news/news/helen-frankenthaler-foundation-ukrainian-artists-fund-1234624286/,ARTnews,Helen Frankenthaler Foundation Commits $2.5 M. to Ukrainian Artists and At-Risk Heritage,Tessa Solomon,4/6/2022,4/7/2022,Ukraine
Helly Hansen,Norway,Corporate giving program,Canadian Red Cross,https://www.redcross.ca/,Ottawa,Ontario,Canada,CAD,"$200,000 ","$158,000 ",Authorized,Cash,,2022,"The softgoods brand Helly Hansen committed $200,000 CAD to the Red Cross in response to the crisis in Ukraine.",https://www.backpacker.com/news-and-events/news/how-the-outdoor-industry-is-supporting-ukraine-and-its-refugees/,Backpacker,How the Outdoor Industry Is Supporting Ukraine and its Refugees,Bella Wilkes,3/9/2022,3/10/2022,Ukraine
Helly Hansen,Norway,Corporate giving program,Unknown Recipient(s),,,,,CAD,"$500,000 ","$395,000 ",Authorized,Pledge,,2022,"The softgoods brand Helly Hansen pledged $500,000 CAD to assist with Ukrainian refugees arriving in Canada.",https://www.backpacker.com/news-and-events/news/how-the-outdoor-industry-is-supporting-ukraine-and-its-refugees/,Backpacker,How the Outdoor Industry Is Supporting Ukraine and its Refugees,Bella Wilkes,3/9/2022,3/10/2022,Ukraine
Hendrick Automotive,United States,Corporate giving program,Samaritan’s Purse,https://www.samaritanspurse.org/,Boone,NC,United States,USD,"$200,000","$200,000",Authorized,Cash,,2022,"Hendrick Automotive has committed $200,000 to Samaritan’s Purse for disaster assistance in Ukraine.",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/hendrick-automotive-humanitarian-crisis-ukraine,,,,3/15/2022,3/15/2022,Ukraine
Henkel AG,Germany,Corporate giving program,Multiple Recipients,,,,,EUR,"€ 1,000,000","$1,090,000",Authorized,Cash,,2022,"Henkel is giving €1 million in combination to the Red Cross and Henkel’s Ukrainian employees, in addition for PTO for Henkel employees who volunteer to help refugees or aid organizations at the border",https://consumerbrandsassociation.org/blog/cpg-industry-unites-amid-russia-invasion/,Consumer Brands Association website,CPG Industry United Amid Russia Invasion,Cati Talenti,3/31/2022,4/8/2022,Ukraine
"Henry Schein, Inc.",United States,Corporate giving program,Unknown Recipient(s),,,,,USD,"$250,000","$250,000",Authorized,Pledge; In-kind gifts,,2022,"Henry Schein intends to provide $250,000 worth of product to humanitarian aid organizations for Ukraine relief. ",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/henry-schein-humanitarian-crisis-ukraine,,,,4/6/2022,4/6/2022,Ukraine
Hilco Global,United States,Corporate giving program,Unknown Recipient(s),,,,,USD,"$25,000 ","$25,000 ",Authorized,Pledge; Matching grants,,2022,"Hilco Global is committing $25,000 by matching $1 dollar for each like, repost and share on social media that highlights selected philanthropic organizations.",https://www.prnewswire.com/news-releases/hilco-global-stands-with-ukraine-301498145.html,Hilco Global,,Hilco Global,3/8/2022,3/11/2022,Ukraine
Hilco Global,United States,Corporate giving program,Sunflower of Peace,https://www.sunflowerofpeace.com/,Cambridge,MA,United States,USD,"$37,500 ","$37,500 ",Authorized,Cash,,2022,"Hilco Global, through its Hilco Helps (www.hilcohelps.com) initiative, is donating the first $75,000 split equally between Sunflower of Peace and United Help Ukraine, as they represent two organizations the company feels are having an immediate impact on Ukraine relief efforts. ",https://www.prnewswire.com/news-releases/hilco-global-stands-with-ukraine-301498145.html,,,Hilco Global,3/8/2022,3/11/2022,Ukraine
Hilco Global,United States,Corporate giving program,United Help Ukraine,http://www.unitedhelpukraine.org/,,,Ukraine,USD,"$37,500 ","$37,500 ",Authorized,Cash,,2022,"Hilco Global, through its Hilco Helps (www.hilcohelps.com) initiative, is donating the first $75,000 split equally between Sunflower of Peace and United Help Ukraine, as they represent two organizations the company feels are having an immediate impact on Ukraine relief efforts. ",https://www.prnewswire.com/news-releases/hilco-global-stands-with-ukraine-301498145.html,,,Hilco Global,3/8/2022,3/11/2022,Ukraine
Hilton Effect Foundation,United States,Independent Foundation,Multiple Recipients,,,,,USD,"$50,000","$50,000",Authorized,Cash,,2022,"The Hilton Effect Foundation has given $50,000 to World Central Kitchen and Project Hope to further assist with humanitarian aid. ",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/hilton-humanitarian-crisis-ukraine,,,,3/11/2022,3/11/2022,Ukraine
Hiroshi Mikitani,Japan,Individual,Unknown Recipient(s),,,,,JPY,"¥1,000,000,000","$8,100,000",Authorized ,Cash,,2022,"In February, Hiroshi Mikitani, Founder and CEO of Rakuten Group tweeted the announcement of a ¥1 billion gift to Ukraine to deal with the humanitarian fallout of Russia’s invasion earlier that month.",https://www.forbes.com/sites/ranawehbe/2022/12/05/asias-2022-heroes-of-philanthropy/?sh=2acd31f8697b,Forbes,Asia's 2022 Heroes of Philanthropy,,12/5/2022,12/6/2022,Ukraine
Hitachi Ltd.,Japan,Corporate giving program,Multiple Recipients,,,,,USD,"$3,000,000","$3,000,000",Authorized,Cash,,2022,"Hitachi Group announced that it will donate $3 million U.S. dollars for the purpose of providing humanitarian aid to those affected in Ukraine and neighboring regions. It includes donations to Japanese Red Cross Society and Japan Committee for UNICEF, in addition to the entire Hitachi Group's donation to the American Red Cross, Singapore Red Cross, and other aid programs in Ukraine",https://en.interfax.com.ua/news/general/814350.html,Interfax-Ukraine,"Hitachi donates $3 mln to Ukraine, GlobalLogic launches donation platform, pays commission",,3/16/2022,3/23/2022,Ukraine
Hnatyshyn Foundation,Canada,Independent foundation,Unknown Recipient(s),,,,,CAD,"$200,000","$158,000",Authorized,Cash; Grants to individuals,,2022,"The Hnatyshyn Foundation announced it will give out 20 awards of C$10,000 each—officially the “Ukraine-Heritage, Spirit and Future” awards—with ten of those going to Canadian performing artists of Ukrainian heritage and the other ten earmarked for those from Ukraine who have recently been displaced.",https://www.theartnewspaper.com/2022/08/18/ukrainian-artists-hnatyshyn-foundation-canada-prizes,The Art Newspaper,"Canadian foundation will give more than $150,000 to artists of Ukrainian heritage",Larry Humber,8/18/2022,8/23/2022,Ukraine
HOBART,Germany,Corporate giving program,Unknown Recipient(s),,,,,EUR,"€ 75,000","$81,750",Authorized ,Cash,,2022,"Warewashing technology manufacturer HOBART made its donation of EUR 75,000 to help Ukrainian refugees",https://www.hobart.com.sg/news/press-releases/detail-view/itw-donates-one-million-dollars-for-ukraine-and-halts-business-with-russia,,ITW DONATES ONE MILLION DOLLARS FOR UKRAINE AND HALTS BUSINESS WITH RUSSIA,,,8/17/2022,Ukraine
Home Capital Group,Canada,Corporate giving program,Canadian Red Cross,https://www.redcross.ca/,Ottawa,,Canada,CAD,"$50,000","$39,500",Authorized,Cash,,2022,"Home Capital Group Inc. and its subsidiary, Home Trust Company, announced a donation of $50,000 CAD to the Canadian Red Cross Ukraine Humanitarian Crisis Appeal in support of humanitarian relief efforts in Ukraine.",https://www.businesswire.com/news/home/20220228005943/en/Home-Capital-Announces-50000-Donation-in-Support-of-Humanitarian-Relief-Efforts-in-Ukraine,Businesswire,"Home Capital Announces $50,000 Donation in Support of Humanitarian Relief Efforts in Ukraine",,2/28/2022,3/3/2022,Ukraine
Homespire Mortgage,United States,Corporate giving program,World Central Kitchen,https://wck.org/,Washington ,DC,United States,USD,"$20,000","$20,000",Authorized ,Cash,,2022," Homespire Mortgage announced its support of $20,000 for World Central Kitchen (WCK), a not-for-profit organization founded by renowned Chef José Andrés. WCK provides meals for people impacted by natural disasters and other crises around the world. As an additional bonus to the program, Homespire President Michael Rappaport confirmed he would match the initial projected $10,000 goal, doubling the donation. ",https://www.businesswire.com/news/home/20220504005185/en/Homespire-Mortgage-Donates-20000-To-World-Central-Kitchen-To-Provide-Meals-For-Ukrainian-Refugees-Through-New-Health-And-Wellness-Program,Business Wire,"Homespire Mortgage Donates $20,000 To World Central Kitchen To Provide Meals For Ukrainian Refugees Through New Health And Wellness Program",,5/4/2022,5/5/2022,Ukraine
Hopper,Canada,Corporate giving program,Unknown Recipient(s),,,,,USD,"$50,000","$50,000",Authorized,Pledge,,2022,"Through Hopper's in-app credit system, Carrot Cash, Hopper plans to fund $50,000 USD in total to individuals who are leaving Ukraine and require temporary accommodations in neighboring countries. The company is hoping this booking credit will help ease the financial burden for hundreds of refugees. These individuals will also have access to immediate concierge-level assistance.",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/hopper-humanitarian-crisis-ukraine,,,,3/10/2022,3/10/2022,Ukraine
Hormel Foods Corporation,United States,Corporate giving program,Convoy of Hope,https://convoyofhope.org/,Sacramento,CA,United States,USD,"$10,000 ","$10,000",Authorized,Cash,,2022,"Hormel Foods Corporation has donated $10,000 to Convoy of Hope for Ukraine relief.",https://consumerbrandsassociation.org/blog/cpg-industry-unites-amid-russia-invasion/,Consumer Brands Association website,CPG Industry United Amid Russia Invasion,Cati Talenti,3/31/2022,4/8/2022,Ukraine
Hotel Engine,United States,Corporate giving program,United Nations World Food Programme,http://www.wfp.org/,Rome,,Italy,USD,"$35,200","$35,200",Authorized,Cash,,2022,"Hotel Engine announced a donation of $35,200, or $100 per associate, to the United Nation’s World Food Programme, which launched an emergency operation to provide assistance for people seeking refuge. The company is also offering assistance to its associates, clients and contractors who have friends and family fleeing the Ukraine. ",https://apnews.com/press-release/globe-newswire/business-denver-corporate-social-responsibility-philanthropy-corporate-giving-de881d8af938ab5f355d67a1bc060629,AP News,"Hotel Engine Expands CSR Program with Increased Corporate Giving, Addition of Social Justice Cause",,3/15/2022,3/16/2022,Ukraine
Howard and Michelle Kessler,United States,Individual,Town of Palm Beach United Way,https://www.palmbeachunitedway.org/united-ukraine,Palm Beach,Florida,United States,USD,"$50,000 ","$50,000 ",Authorized,Pledge; Matching grants,,2022,"Howard and Michelle Kessler will match donations to Palm Beach United Way's Ukraine Refugee Fund up to $50,000.",https://www.palmbeachdailynews.com/story/news/local/2022/03/29/town-palm-beach-united-way-gets-ore-funding-groups-helping-ukrainian-refugees/7195709001/,,Palm Beach Daily News,Carol Rose,3/29/2022,3/30/2022,Ukraine
Howard G. Buffett Foundation,United States,Family Foundation,World Central Kitchen,https://wck.org/,Washington,DC,United States,USD,"$11,000,000 ","$11,000,000",Authorized,Cash,,2022,"WCK is transporting 635,000 essential meals kits to families in formerly occupied towns near Kyiv, Ukraine. These deliveries have been made possible by an $11M donation from the Howard G. Buffett Foundation.",https://twitter.com/WCKitchen/status/1517266860063870976,Twitter,,WCK,4/21/2022,4/22/2022,Ukraine
Howard G. Buffett Foundation,United States,Family Foundation,Spirit of America,https://spiritofamerica.org/,Arlington,VA,United States,USD,"$2,700,000 ","$2,700,000 ",Authorized,Cash,,2022,"The Howard G. Buffett Foundation donated $2.7 million to the citizen-funded nonprofit Spirit of America, which is delivering nine 50-passenger buses to the Ukrainian Territory Defense Forces. The Buffett Foundation’s donation also funded 375 advanced trauma kits for Ukrainians on the front lines.",https://www.cnbc.com/2022/06/13/buffetts-son-donates-2point7-million-to-ukraine-after-zelenskyy-meeting.html,CNBC.com,Warren Buffett’s son donates $2.7 million for Ukraine aid after meeting with Zelenskyy,Yun Li,6/13/2022,6/13/2022,Ukraine
HP Foundation,United States,Company-sponsored foundation,Unknown Recipient(s),,,,,USD,"$3,000,000","$3,000,000",Authorized ,Cash,,2022,"To date, the HP Foundation has delivered more than $3 million in grants to provide essential food, clothing, and shelter materials to Ukrainian refugees, and continues to match donations made by HP employees.",https://finance.yahoo.com/news/first-lady-ukraine-accepts-computer-171900969.html,Yahoo! Finance,First Lady of Ukraine Accepts Computer Donation from HP Inc. for Ukrainian Children and Healthcare Workers,,7/20/2022,7/21/2022,Ukraine
HP Inc.,United States,Corporate giving program,Theirworld,https://theirworld.org/,London,,United Kingdom,USD,"$30,000,000","$30,000,000",Authorized ,In-kind gifts,,2022,"First Lady of Ukraine, Olena Zelenska, met with representatives from HP Inc. and the Global Business Coalition for Education to accept a donation of technology and learning material headed to Ukraine to support thousands of students, teachers, and healthcare practitioners. HP’s ""Digital Equity for Ukraine” initiative is a $30 million partnership with Global Business Coalition for Education that will put computers and learning materials in the hands of people who need them. The computers will be distributed to organizations on the ground aiding Ukrainians by partnering with the Global Business Coalition for Education, an initiative of the global children’s charity Theirworld. HP will provide computers to the nonprofit organizations. Additionally, Microsoft will provide software support for the nonprofits receiving the computers.",https://finance.yahoo.com/news/first-lady-ukraine-accepts-computer-171900969.html,Yahoo! Finance,First Lady of Ukraine Accepts Computer Donation from HP Inc. for Ukrainian Children and Healthcare Workers,,7/20/2022,7/21/2022,Ukraine
Huckleberry Foundation,United States,Public charity,Town of Palm Beach United Way,https://www.palmbeachunitedway.org/united-ukraine,Palm Beach,Florida,United States,USD,"$50,000 ","$50,000 ",Authorized,Pledge; Matching grants,,2022,"Huckleberry Foundation will match donations to Palm Beach United Way's Ukraine Refugee Fund up to $50,000.",https://www.palmbeachdailynews.com/story/news/local/2022/03/29/town-palm-beach-united-way-gets-ore-funding-groups-helping-ukrainian-refugees/7195709001/,,Palm Beach Daily News,Carol Rose,3/29/2022,3/30/2022,Ukraine
Hugh F. Culverhouse Jr.,United States,Individual ,United States Fund for Unicef,https://www.unicefusa.org/,New York,NY,United States,USD,"$1,000,000 ","$1,000,000",Authorized,Cash,,2022,"Hugh F. Culverhouse Jr., developer of Palmer Ranch and a local philanthropist, donated $1 million to UNICEF USA’s Protect Children of Ukraine fund.",https://www.heraldtribune.com/story/news/2022/03/10/hugh-f-culverhouse-jr-sarasota-donates-1-million-unicef-relief-effort-ukraine/6988358001/,Sarasota Herald-Tribune,Sarasota County developer donates $1 million to UNICEF for Ukraine aid,Earle Kimel,3/10/2022,3/11/2022,Ukraine
Hugh F. Culverhouse Jr.,United States,Individual,United States Fund for Unicef,https://www.unicefusa.org/,New York,NY,United States,USD,"$25,000,000 ","$25,000,000",Authorized,Pledge; Matching grants,,2022,"Hugh F. Culverhouse Jr., developer of Palmer Ranch and a local philanthropist, donated $1 million to UNICEF USA’s Protect Children of Ukraine fund and then took out a full-page ad in the March 8 edition of the Wall Street Journal challenging others to contribute as well.",https://www.heraldtribune.com/story/news/2022/03/10/hugh-f-culverhouse-jr-sarasota-donates-1-million-unicef-relief-effort-ukraine/6988358001/,Sarasota Herald-Tribune,Sarasota County developer donates $1 million to UNICEF for Ukraine aid; challenges others to contribute,Earle Kimel,3/10/2022,3/11/2022,Ukraine
Humble Bundle ,United States,Corporate giving program,Multiple Recipients,,,,,USD,"$20,736,920","$20,736,920",Authorized,Cash,,2022,"From March 18 to March 25, Humble Bundle sold a bundle of its games to customers in the effort to raise more towards humanitarian aid in Ukraine. 473,907 Bundles were sold, raising $20,736,920. All proceeds went to International Medical Corps, International Rescue Committee, Razom for Ukraine, and Direct Relief.",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/humble-bundle-humanitarian-crisis-ukraine,,,,3/29/2022,3/29/2022,Ukraine
Hyundai Motor Company ,South Korea,Corporate giving program,International Committee of the Red Cross (ICRC),https://www.icrc.org/en,Geneva,,Switzerland,USD,"$1,000,000","$1,000,000",Authorized,Cash,,2022,Hyundai Motor Group is donating $1 million to the Red Cross to provide humanitarian aid to Ukraine. ,https://www.koreatimes.co.kr/www/nation/2022/03/419_325091.html,The Korea Times,Hyundai Motor donates $1 million to Red Cross for Ukraine aid,Kim Hyun-bin,3/7/2022,3/7/2022,Ukraine
IBM,United States,Corporate Giving Program,People in Need,https://www.peopleinneed.net/,Prague,,Czech Republic,USD,"$250,000 ","$250,000",Authorized,Cash,,2022,"IBM is donating $250,000 to People in Need in Czech Republic for aid in the Ukrainian refugee crisis.",https://newsroom.ibm.com/Update-on-our-actions-War-in-Ukraine,IBM Newsroom,Update on Our Actions: War in Ukraine,Arvind Krishna,3/7/2022,3/11/2022,Ukraine
IBM,United States,Corporate Giving Program,Polish Humanitarian Action,https://www.pah.org.pl/en/,Warsaw,,Poland,USD,"$250,000 ","$250,000",Authorized,Cash,,2022,"IBM is donating $250,000 to Polish Humanitarian Action for aid in the Ukrainian refugee crisis.",https://newsroom.ibm.com/Update-on-our-actions-War-in-Ukraine,IBM Newsroom,Update on Our Actions: War in Ukraine,Arvind Krishna,3/7/2022,3/11/2022,Ukraine
IC Savings Bank,Canada,Corporate giving program,The Canada-Ukraine Foundation,https://www.cufoundation.ca/,Toronto,,Canada,CAD,"$25,000 ","$19,750",Authorized,Pledge; Matching grants,,2022,"In response to the humanitarian crisis in Ukraine, IC Savings will match individual donations up to $25,000. 
Donations accepted in trust for the Canada-Ukraine Foundation will be directed by this registered charity within about seven days to partners on the ground in Ukraine and surrounding countries.",https://www.icsavings.ca/community/new-noteworthy/ukraine-humanitarian-appeal,,,,,3/24/2022,Ukraine
Iceland Foods Charitable Foundation,United Kingdom,Public charity,British Red Cross,https://www.redcross.org.uk/,London,,United Kingdom,GBP,"£150,000","$198,000",Authorized,Cash,,2022,"Iceland Charitable Foods Foundation will donate £150,000 to the British Red Cross to help those who have been displaced by the conflict access necessities and medical care.",https://www.dailyrecord.co.uk/lifestyle/food-drink/heres-what-aldi-ms-asda-26402824,Daily Record,"Here's what Aldi, M&S, Asda, Sainsbury's, Tesco and more are donating to help the Ukrainian crisis",Rachel Williams,3/7/2022,3/10/2022,Ukraine
ICON Foundation,Switzerland,Company-sponsored foundation,Unknown Recipient(s),,,,,USD,"$1,000,000","$1,000,000",Authorized,Pledge,,2022,The ICON Foundation has pledged to donate $1 million to aid Ukrainian refugees.,https://en.interfax.com.ua/news/telecom/813533.html,Interfax,"Digital Ministry, FTX and Everstake launch website to collect crypto aid for Ukraine",,3/15/2022,3/16/2022,Ukraine
ICR Touch,United Kingdom,Corporate giving program,Disasters Emergency Committee,http://www.dec.org.uk,London,,United Kingdom,GBP,"£20,000","$26,400",Authorized,Cash,,2022,"ICR Touch donated £20,000 to the Disasters Emergency Committee (DEC) to aid the people of the Ukraine.",https://onthewight.com/icr-touch-donate-20000-to-support-humanitarian-efforts-in-ukraine/,On The Wight,"ICR Touch donate £20,000 to support humanitarian efforts in Ukraine",Sally Perry,3/15/2022,3/16/2022,Ukraine
IHG Hotels & Resorts,United States,Corporate giving program,Multiple Recipients,,,,,USD,"$500,000","$500,000",Authorized,Cash,,2022,"IHG Hotels & Resorts has donated $500,000 to CARE International and the International Federation of Red Cross and Red Crescent Societies in response to the humanitarian crisis in Ukraine.",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/ihg-hotels-resorts-humanitarian-crisis-ukraine,,,,3/21/2022,3/21/2022,Ukraine
